"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KD";"time2KD";"time1KAST";"time2KAST";"time1ADR";"time2ADR";"ganhador"
"1";1,098;1,064;214,58;218,76;1,172;1,12;74,6;72,4;136,4;140,16;1
"2";1,074;1,134;208,62;222,86;1,092;1,202;73;74,6;132,38;143,1;0
"3";1,036;1,052;209,56;213,68;1,058;1,112;71,6;71,8;134,9;137,02;1
"4";1,068;1,07;213,36;213,72;1,086;1,09;73,2;72,8;137,84;138,36;1
"5";1,064;1,074;218,76;208,62;1,12;1,092;72,4;73;140,16;132,38;1
"6";1,052;1,07;213,68;213,72;1,112;1,09;71,8;72,8;137,02;138,36;0
"7";1,098;1,134;214,58;222,86;1,172;1,202;74,6;74,6;136,4;143,1;0
"8";1,036;1,068;209,56;213,36;1,058;1,086;71,6;73,2;134,9;137,84;1
"9";1,068;1,064;213,36;218,76;1,086;1,12;73,2;72,4;137,84;140,16;0
"10";1,098;1,07;214,58;213,72;1,172;1,09;74,6;72,8;136,4;138,36;1
"11";1,134;1,036;222,86;209,56;1,202;1,058;74,6;71,6;143,1;134,9;1
"12";1,064;1,098;218,76;214,58;1,12;1,172;72,4;74,6;140,16;136,4;0
"13";1,134;1,036;222,86;209,56;1,202;1,058;74,6;71,6;143,1;134,9;1
"14";1,036;1,098;209,56;214,58;1,058;1,172;71,6;74,6;134,9;136,4;1
