"";"b";"V1";"V2";"ganhador";"prev"
"x1";"https://www.vlr.gg/185124/indonesia-vs-cambodia-sea-esports-championship-2023-sf";99,7681433615193;0,231856638480646;"1";1
"x2";"https://www.vlr.gg/185125/malaysia-vs-vietnam-sea-esports-championship-2023-sf";86,9441758797862;13,0558241202138;"0";1
"x3";"https://www.vlr.gg/179471/global-esports-phoenix-vs-team-smg-gc-game-changers-2023-asia-pacific-open-1-playoffs-ubqf";23,6047612988946;76,3952387011054;"0";0
"x4";"https://www.vlr.gg/179472/go-cyrene-vs-sapphire-game-changers-2023-asia-pacific-open-1-playoffs-ubqf";42,9049696840639;57,0950303159361;"0";0
"x5";"https://www.vlr.gg/179473/orangutan-x-vs-bigg-scythe-game-changers-2023-asia-pacific-open-1-playoffs-ubqf";91,1850390894165;8,81496091058345;"1";1
"x6";"https://www.vlr.gg/179474/rrq-kaguya-vs-capybara-gang-game-changers-2023-asia-pacific-open-1-playoffs-ubqf";68,7047530620995;31,2952469379005;"1";1
"x7";"https://www.vlr.gg/169011/tsm-vs-disguised-challengers-league-north-america-w5";35,8302258695166;64,1697741304834;"1";0
"x8";"https://www.vlr.gg/184366/the-union-vs-keyd-stars-challengers-league-brazil-split-1-ubsf";38,7269300499761;61,2730699500239;"1";0
"x9";"https://www.vlr.gg/179417/all-knights-vs-9z-team-challengers-league-latam-south-fire-split-1-w3";40,0310796955362;59,9689203044638;"0";0
"x10";"https://www.vlr.gg/169009/the-guard-vs-m80-challengers-league-north-america-w5";41,8855129101023;58,1144870898977;"1";0
"x11";"https://www.vlr.gg/184367/red-canids-vs-tropicaos-challengers-league-brazil-split-1-ubsf";74,0031511979026;25,9968488020974;"1";1
